recalling_firm_normalized,recall_count,unique_event_count,class_i_count,class_i_pct,first_report_date,latest_report_date,median_reporting_lag_days,active_year_count
AIRE MASTER OF AMERICA INC,6,1,0,0.0,2022-08-24,2022-08-24,40.0,1
ALEMBIC PHARMACEUTICALS LIMITED,6,6,1,16.67,2021-04-14,2026-01-14,28.5,3
ASPEN BIOPHARMA LABS PVT LTD,6,1,0,0.0,2025-03-19,2025-03-19,40.0,1
BESTCO LLC,6,2,0,0.0,2022-05-25,2024-02-28,40.0,2
GASCO INDUSTRIAL CORP,6,1,0,0.0,2026-07-15,2026-07-15,47.0,1
GLOBAL SANITIZERS LLC,6,1,2,33.33,2021-09-08,2021-09-08,119.0,1
HALEON US HOLDINGS LLC,6,5,3,50.0,2024-01-31,2026-06-17,29.0,3
KVK TECH INC,6,5,2,33.33,2021-01-20,2025-05-28,31.0,3
LOUD MUSCLE SCIENCE,6,1,3,50.0,2022-07-27,2022-07-27,30.0,1
MCKESSON CORPORATION DBA MCKESSON DRUG COMPANY,6,2,0,0.0,2021-06-16,2022-05-11,20.0,2
NEPHRON SC INC,6,4,0,0.0,2022-08-24,2023-03-08,19.0,2
NOVARTIS PHARMACEUTICALS CORPORATION,6,3,1,16.67,2022-06-15,2023-12-13,36.0,2
PHARMADEL LLC,6,1,0,0.0,2025-04-30,2025-04-30,15.0,1
PRIVATE LABEL SKIN CARE INC,6,1,0,0.0,2025-10-01,2025-10-01,19.0,1
QUVA PHARMA INC,6,4,0,0.0,2022-10-05,2026-07-15,26.5,3
SEATEX LLC,6,2,0,0.0,2023-05-10,2024-03-06,16.0,2
SOMERSET THERAPEUTICS LLC,6,4,0,0.0,2024-05-29,2026-03-25,28.0,3
SPARTAN CHEMICAL CO INC,6,1,1,16.67,2021-04-21,2021-04-21,23.0,1
STAQ PHARMA INC,6,3,2,33.33,2022-02-23,2025-10-22,13.5,3
UNICHEM PHARMACEUTICALS USA INC,6,6,1,16.67,2021-12-01,2026-05-13,28.0,4
WEDGEWOOD VILLAGE PHARMACY LLC,6,1,0,0.0,2022-07-13,2022-07-13,33.0,1
ATLANTIC MANAGEMENT RESOURCES LTD,5,2,0,0.0,2022-12-21,2025-09-17,9.0,2
AUROMEDICS PHARMA LLC,5,5,1,20.0,2021-02-10,2022-11-02,30.0,2
BAUSCH HEALTH COMPANIES INC,5,3,0,0.0,2021-02-03,2024-03-06,27.0,2
BRS ANALYTICAL SERVICES LLC,5,1,0,0.0,2025-05-14,2025-05-14,21.0,1
BRYANT RANCH PREPACK INC DBA BRP PHARMACEUTICALS,5,3,2,40.0,2021-03-24,2021-12-01,56.0,1
BSO LLC,5,1,0,0.0,2025-05-14,2025-05-14,16.0,1
CONSUMER PRODUCT PARTNERS LLC,5,4,0,0.0,2024-06-26,2025-10-01,29.0,2
DR BERNE S WHOLE HEALTH PRODUCTS,5,1,1,20.0,2023-10-11,2023-10-11,46.0,1
GLOBAL PHARMA HEALTHCARE PRIVATE LIMITED,5,2,3,60.0,2023-03-29,2023-07-19,170.0,1
GRATO HOLDINGS INC,5,3,0,0.0,2021-07-21,2023-11-15,22.0,3
ICU MEDICAL INC,5,4,3,60.0,2021-03-31,2025-03-19,22.0,3
NEW ENGLAND LIFE CARE INC DBA ADVANCED COMPOUNDING SOLUTIONS,5,2,0,0.0,2023-06-07,2023-07-26,16.0,1
NOMAX INC,5,2,0,0.0,2021-05-26,2024-05-01,12.0,2
PARKER LABORATORIES INC,5,1,0,0.0,2023-08-30,2023-08-30,28.0,1
SAGENT PHARMACEUTICALS INC,5,3,0,0.0,2021-03-24,2023-05-31,12.0,2
SAINI TRADE INC,5,1,5,100.0,2025-06-18,2025-06-18,65.0,1
SOMERSET THERAPEUTICS PRIVATE LIMITED,5,1,0,0.0,2025-04-16,2025-04-16,26.0,1
TORRENT PHARMA INC,5,4,0,0.0,2021-12-22,2025-06-11,21.0,3
A S MEDICATION SOLUTIONS LLC,4,4,2,50.0,2021-05-12,2025-04-02,48.5,3
ABBVIE INC,4,3,0,0.0,2023-11-15,2026-06-03,16.0,3
ALVOGEN INC,4,4,1,25.0,2021-07-14,2026-01-21,28.0,4
APPCO PHARMA LLC,4,2,0,0.0,2025-01-29,2026-04-08,12.0,2
ASCLEMED USA INC,4,3,0,0.0,2026-06-10,2026-07-29,28.5,1
AVKARE LLC,4,3,0,0.0,2023-01-04,2023-09-13,23.0,1
